Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
branchy_dgnet_mutiT(200),67.69,0.6876035928726196,1.0,-,-
B-branchy_dgnet_mutiT(200),67.07000017166138,0.6162624359130859,1.1157642471812046,"{0.0001, 0.0001, 0.0001}","{33.61, 18.95, 6.37, 41.07}"
B-branchy_dgnet_mutiT(200),67.11000025123359,0.600034737586975,1.1459396428243482,"{0.0001, 0.0001, 0.001}","{33.61, 18.95, 12.93, 34.51}"
B-branchy_dgnet_mutiT(200),67.10000034794211,0.6016831874847411,1.1428000768096207,"{0.0001, 0.0001, 0.005}","{33.61, 18.95, 18.34, 29.1}"
B-branchy_dgnet_mutiT(200),67.16000036478043,0.5942326068878173,1.1571286814330426,"{0.0001, 0.0001, 0.01}","{33.61, 18.95, 20.85, 26.59}"
B-branchy_dgnet_mutiT(200),67.11000041373075,0.6204207181930542,1.1082859948249832,"{0.0001, 0.0001, 0.05}","{33.61, 18.95, 27.18, 20.26}"
B-branchy_dgnet_mutiT(200),66.93000033810735,0.6645988941192627,1.0346144102208343,"{0.0001, 0.0001, 0.1}","{33.61, 18.95, 30.41, 17.03}"
B-branchy_dgnet_mutiT(200),67.1000002297759,0.600034236907959,1.1459405990163412,"{0.0001, 0.0001, 0.5}","{33.61, 18.95, 39.75, 7.69}"
B-branchy_dgnet_mutiT(200),66.91000016897917,0.574312686920166,1.197263456880941,"{0.0001, 0.0001, 0.75}","{33.61, 18.95, 44.76, 2.68}"
B-branchy_dgnet_mutiT(200),67.04000014543533,0.5167579650878906,1.3306105359317906,"{0.0001, 0.0001, 1.0}","{33.61, 18.95, 46.41, 1.03}"
B-branchy_dgnet_mutiT(200),67.12000012248754,0.448132586479187,1.5343753469812769,"{0.0001, 0.0001, 5.0}","{33.61, 18.95, 47.44, 0.0}"
B-branchy_dgnet_mutiT(200),67.12000012248754,0.4454480171203613,1.5436225248407094,"{0.0001, 0.0001, 10.0}","{33.61, 18.95, 47.44, 0.0}"
B-branchy_dgnet_mutiT(200),67.21000016719103,0.5903105258941651,1.1648167578090889,"{0.0001, 0.001, 0.0001}","{33.61, 25.22, 3.67, 37.5}"
B-branchy_dgnet_mutiT(200),67.28000027209521,0.5909185409545898,1.1636182404462068,"{0.0001, 0.001, 0.001}","{33.61, 25.22, 8.58, 32.59}"
B-branchy_dgnet_mutiT(200),67.12000033266843,0.5944607734680176,1.1566845510448356,"{0.0001, 0.001, 0.005}","{33.61, 25.22, 13.07, 28.1}"
B-branchy_dgnet_mutiT(200),67.17000039160251,0.5945141792297363,1.1565806449957035,"{0.0001, 0.001, 0.01}","{33.61, 25.22, 15.26, 25.91}"
B-branchy_dgnet_mutiT(200),67.03000037886201,0.5918192148208617,1.1618473609052233,"{0.0001, 0.001, 0.05}","{33.61, 25.22, 21.27, 19.9}"
B-branchy_dgnet_mutiT(200),66.99000032268465,0.5881738901138306,1.169048141085532,"{0.0001, 0.001, 0.1}","{33.61, 25.22, 24.2, 16.97}"
B-branchy_dgnet_mutiT(200),67.02000027187168,0.5959251642227174,1.153842183807561,"{0.0001, 0.001, 0.5}","{33.61, 25.22, 33.59, 7.58}"
B-branchy_dgnet_mutiT(200),66.9100001962483,0.5709673643112183,1.204278275522988,"{0.0001, 0.001, 0.75}","{33.61, 25.22, 38.58, 2.59}"
B-branchy_dgnet_mutiT(200),67.0000001962483,0.5156502962112427,1.33346882165066,"{0.0001, 0.001, 1.0}","{33.61, 25.22, 40.18, 0.99}"
B-branchy_dgnet_mutiT(200),67.16000017255544,0.4450158357620239,1.5451216285263198,"{0.0001, 0.001, 5.0}","{33.61, 25.22, 41.17, 0.0}"
B-branchy_dgnet_mutiT(200),67.16000017255544,0.4458672285079956,1.542171186641247,"{0.0001, 0.001, 10.0}","{33.61, 25.22, 41.17, 0.0}"
B-branchy_dgnet_mutiT(200),67.09000013902784,0.5946214199066162,1.1563720543074383,"{0.0001, 0.005, 0.0001}","{33.61, 31.05, 1.93, 33.41}"
B-branchy_dgnet_mutiT(200),67.11000023812056,0.6747620105743408,1.0190312763567533,"{0.0001, 0.005, 0.001}","{33.61, 31.05, 5.6, 29.74}"
B-branchy_dgnet_mutiT(200),66.99000025980175,0.5928359031677246,1.1598548421216037,"{0.0001, 0.005, 0.005}","{33.61, 31.05, 9.28, 26.06}"
B-branchy_dgnet_mutiT(200),67.04000025562942,0.5906603813171387,1.1641268224885901,"{0.0001, 0.005, 0.01}","{33.61, 31.05, 11.09, 24.25}"
B-branchy_dgnet_mutiT(200),66.96000027917326,0.5984697818756104,1.1489361930984434,"{0.0001, 0.005, 0.05}","{33.61, 31.05, 16.27, 19.07}"
B-branchy_dgnet_mutiT(200),66.94000033445656,0.6000999927520752,1.145815032790203,"{0.0001, 0.005, 0.1}","{33.61, 31.05, 19.01, 16.33}"
B-branchy_dgnet_mutiT(200),67.12000027954579,0.5849617004394532,1.1754677141359111,"{0.0001, 0.005, 0.5}","{33.61, 31.05, 27.84, 7.5}"
B-branchy_dgnet_mutiT(200),66.87000014796854,0.5754608154296875,1.194874741139754,"{0.0001, 0.005, 0.75}","{33.61, 31.05, 32.66, 2.68}"
B-branchy_dgnet_mutiT(200),66.9700001451373,0.5213421106338502,1.318910517388722,"{0.0001, 0.005, 1.0}","{33.61, 31.05, 34.4, 0.94}"
B-branchy_dgnet_mutiT(200),67.08000017911195,0.4469719171524048,1.5383597190025837,"{0.0001, 0.005, 5.0}","{33.61, 31.05, 35.34, 0.0}"
B-branchy_dgnet_mutiT(200),67.08000017911195,0.4469719171524048,1.5383597190025837,"{0.0001, 0.005, 10.0}","{33.61, 31.05, 35.34, 0.0}"
B-branchy_dgnet_mutiT(200),67.12000021576881,0.590876579284668,1.1637008759173568,"{0.0001, 0.01, 0.0001}","{33.61, 33.51, 1.54, 31.34}"
