Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
B-branchy_dgnet_mutiT(100),68.3800001463294,0.5919406652450562,1.1717818955379478,"{0.1, 0.0001, 0.75}","{36.07, 6.75, 51.64, 5.54}"
B-branchy_dgnet_mutiT(100),68.49000024333596,0.5561465978622436,1.2471987735482926,"{0.1, 0.0001, 1.0}","{36.07, 6.75, 54.67, 2.51}"
B-branchy_dgnet_mutiT(100),68.59000034451485,0.45048158168792723,1.5397418739471511,"{0.1, 0.0001, 5.0}","{36.07, 6.75, 57.18, 0.0}"
B-branchy_dgnet_mutiT(100),68.59000034451485,0.44693446159362793,1.5519621205614702,"{0.1, 0.0001, 10.0}","{36.07, 6.75, 57.18, 0.0}"
B-branchy_dgnet_mutiT(100),68.6300002142787,0.5900652885437012,1.175506114719498,"{0.1, 0.001, 0.0001}","{36.07, 12.5, 1.38, 50.05}"
B-branchy_dgnet_mutiT(100),68.62000017419457,0.5902571678161621,1.1751239842340686,"{0.1, 0.001, 0.001}","{36.07, 12.5, 6.06, 45.37}"
B-branchy_dgnet_mutiT(100),68.52000012010336,0.5898823022842408,1.175870766220437,"{0.1, 0.001, 0.005}","{36.07, 12.5, 11.65, 39.78}"
B-branchy_dgnet_mutiT(100),68.48000025570393,0.591185188293457,1.173279318396148,"{0.1, 0.001, 0.01}","{36.07, 12.5, 14.7, 36.73}"
B-branchy_dgnet_mutiT(100),68.52000031903385,0.5923669815063477,1.170938584394095,"{0.1, 0.001, 0.05}","{36.07, 12.5, 22.88, 28.55}"
B-branchy_dgnet_mutiT(100),68.43000036671758,0.5919214487075806,1.1718199370563924,"{0.1, 0.001, 0.1}","{36.07, 12.5, 26.85, 24.58}"
B-branchy_dgnet_mutiT(100),68.28000024616718,0.5920579910278321,1.1715496881693792,"{0.1, 0.001, 0.5}","{36.07, 12.5, 39.29, 12.14}"
B-branchy_dgnet_mutiT(100),68.42000012844801,0.5891924619674683,1.177247503219319,"{0.1, 0.001, 0.75}","{36.07, 12.5, 46.03, 5.4}"
B-branchy_dgnet_mutiT(100),68.60000010311603,0.5587882280349731,1.2413027332484061,"{0.1, 0.001, 1.0}","{36.07, 12.5, 49.05, 2.38}"
B-branchy_dgnet_mutiT(100),68.61000015571713,0.44369091987609866,1.563307527141961,"{0.1, 0.001, 5.0}","{36.07, 12.5, 51.43, 0.0}"
B-branchy_dgnet_mutiT(100),68.61000015571713,0.4473172187805176,1.550634148754248,"{0.1, 0.001, 10.0}","{36.07, 12.5, 51.43, 0.0}"
B-branchy_dgnet_mutiT(100),68.50000011622906,0.5927749872207642,1.1701326299527588,"{0.1, 0.005, 0.0001}","{36.07, 18.2, 0.69, 45.04}"
B-branchy_dgnet_mutiT(100),68.45000021666289,0.6726514101028442,1.0311810015544227,"{0.1, 0.005, 0.001}","{36.07, 18.2, 3.5, 42.23}"
B-branchy_dgnet_mutiT(100),68.33000017940998,0.5907421112060547,1.1741593186081578,"{0.1, 0.005, 0.005}","{36.07, 18.2, 7.83, 37.9}"
B-branchy_dgnet_mutiT(100),68.39000025480986,0.590393352508545,1.174852921056232,"{0.1, 0.005, 0.01}","{36.07, 18.2, 10.28, 35.45}"
B-branchy_dgnet_mutiT(100),68.32000036627053,0.5897133827209472,1.1762075867541737,"{0.1, 0.005, 0.05}","{36.07, 18.2, 17.86, 27.87}"
B-branchy_dgnet_mutiT(100),68.18000041566789,0.5940682172775268,1.1675853624110133,"{0.1, 0.005, 0.1}","{36.07, 18.2, 21.74, 23.99}"
B-branchy_dgnet_mutiT(100),68.14000033073128,0.5881943464279175,1.1792451916262148,"{0.1, 0.005, 0.5}","{36.07, 18.2, 33.63, 12.1}"
B-branchy_dgnet_mutiT(100),68.3600002297759,0.5858468532562255,1.1839704368327164,"{0.1, 0.005, 0.75}","{36.07, 18.2, 40.24, 5.49}"
B-branchy_dgnet_mutiT(100),68.46000012651086,0.5590951204299927,1.2406213708919291,"{0.1, 0.005, 1.0}","{36.07, 18.2, 43.39, 2.34}"
B-branchy_dgnet_mutiT(100),68.53000015631318,0.4419063329696655,1.5696207612721842,"{0.1, 0.005, 5.0}","{36.07, 18.2, 45.73, 0.0}"
B-branchy_dgnet_mutiT(100),68.53000015631318,0.442312741279602,1.568178553392338,"{0.1, 0.005, 10.0}","{36.07, 18.2, 45.73, 0.0}"
B-branchy_dgnet_mutiT(100),68.50000017583369,0.5961628913879395,1.1634829419724562,"{0.1, 0.01, 0.0001}","{36.07, 21.17, 0.43, 42.33}"
B-branchy_dgnet_mutiT(100),68.39000024616718,0.590458106994629,1.1747240770345715,"{0.1, 0.01, 0.001}","{36.07, 21.17, 2.44, 40.32}"
B-branchy_dgnet_mutiT(100),68.42000021025538,0.5912060260772705,1.1732379647229596,"{0.1, 0.01, 0.005}","{36.07, 21.17, 6.28, 36.48}"
B-branchy_dgnet_mutiT(100),68.31000026762486,0.585996699333191,1.1836676820127587,"{0.1, 0.01, 0.01}","{36.07, 21.17, 8.48, 34.28}"
B-branchy_dgnet_mutiT(100),68.22000042207539,0.5900769472122193,1.1754828892127278,"{0.1, 0.01, 0.05}","{36.07, 21.17, 15.29, 27.47}"
B-branchy_dgnet_mutiT(100),68.18000045053661,0.5915205240249634,1.172614180903,"{0.1, 0.01, 0.1}","{36.07, 21.17, 19.06, 23.7}"
